Date : 2024-01-16 14:51:40
Directory : c:\Users\samvj\OneDrive\Documents\Microsoft VS Code\Spotify
Total : 91 files,  3188 codes, 80 comments, 711 blanks, all 3979 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         90 |      3,118 |         75 |        704 |      3,897 |
| XML      |          1 |         70 |          5 |          7 |         82 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |         91 |      3,188 |         80 |        711 |      3,979 |
| spotifycontroller                                                                                                                                     |         91 |      3,188 |         80 |        711 |      3,979 |
| spotifycontroller (Files)                                                                                                                             |          1 |         70 |          5 |          7 |         82 |
| spotifycontroller\src                                                                                                                                 |         45 |      2,156 |         17 |        701 |      2,874 |
| spotifycontroller\src\main                                                                                                                            |         44 |      2,145 |         11 |        697 |      2,853 |
| spotifycontroller\src\main\java                                                                                                                       |         44 |      2,145 |         11 |        697 |      2,853 |
| spotifycontroller\src\main\java\com                                                                                                                   |         44 |      2,145 |         11 |        697 |      2,853 |
| spotifycontroller\src\main\java\com\spotify                                                                                                           |         44 |      2,145 |         11 |        697 |      2,853 |
| spotifycontroller\src\main\java\com\spotify (Files)                                                                                                   |          1 |         29 |          1 |         14 |         44 |
| spotifycontroller\src\main\java\com\spotify\auth                                                                                                      |          3 |        150 |          0 |         57 |        207 |
| spotifycontroller\src\main\java\com\spotify\command                                                                                                   |          9 |        212 |          4 |         92 |        308 |
| spotifycontroller\src\main\java\com\spotify\control                                                                                                   |          2 |        132 |          6 |         36 |        174 |
| spotifycontroller\src\main\java\com\spotify\data                                                                                                      |         16 |        967 |          0 |        311 |      1,278 |
| spotifycontroller\src\main\java\com\spotify\data (Files)                                                                                              |          2 |         70 |          0 |         28 |         98 |
| spotifycontroller\src\main\java\com\spotify\data\playlists                                                                                            |         14 |        897 |          0 |        283 |      1,180 |
| spotifycontroller\src\main\java\com\spotify\data\playlists (Files)                                                                                    |          5 |        284 |          0 |         92 |        376 |
| spotifycontroller\src\main\java\com\spotify\data\playlists\playlist                                                                                   |          9 |        613 |          0 |        191 |        804 |
| spotifycontroller\src\main\java\com\spotify\playback                                                                                                  |         10 |        509 |          0 |        164 |        673 |
